2024/09/14,#genre#
CCTV1,http://116.233.34.25:7777/tsfile/live/0001_1.m3u8
CCTV2,http://116.233.34.25:7777/tsfile/live/0002_1.m3u8
CCTV3,http://116.233.34.25:7777/tsfile/live/0003_1.m3u8
CCTV4,http://116.233.34.25:7777/tsfile/live/0004_1.m3u8
CCTV5,http://116.233.34.25:7777/tsfile/live/0005_1.m3u8
CCTV5+,http://116.233.34.25:7777/tsfile/live/0016_1.m3u8
来自上海电信(116.233.34.25:7777)的酒店源共有80个频道：
CCTV6,http://116.233.34.25:7777/tsfile/live/0006_1.m3u8
CCTV7,http://116.233.34.25:7777/tsfile/live/0007_1.m3u8
CCTV8,http://116.233.34.25:7777/tsfile/live/0008_1.m3u8
CGTN,http://116.233.34.25:7777/tsfile/live/1037_1.m3u8
CCTV9,http://116.233.34.25:7777/tsfile/live/0009_1.m3u8
CCTV10,http://116.233.34.25:7777/tsfile/live/0010_1.m3u8
CCTV11,http://116.233.34.25:7777/tsfile/live/0011_1.m3u8
CCTV12,http://116.233.34.25:7777/tsfile/live/0012_1.m3u8
CCTV13,http://116.233.34.25:7777/tsfile/live/0013_1.m3u8
CCTV14,http://116.233.34.25:7777/tsfile/live/0014_1.m3u8
CCTV15,http://116.233.34.25:7777/tsfile/live/0015_1.m3u8
CCTV16,http://116.233.34.25:7777/tsfile/live/1038_1.m3u8
CCTV17,http://116.233.34.25:7777/tsfile/live/1039_1.m3u8
财富天下,http://116.233.34.25:7777/tsfile/live/1040_1.m3u8
CETV,http://116.233.34.25:7777/tsfile/live/1041_1.m3u8
金鹰纪实,http://116.233.34.25:7777/tsfile/live/1042_1.m3u8
纪实科教,http://116.233.34.25:7777/tsfile/live/1043_1.m3u8
卡酷少儿,http://116.233.34.25:7777/tsfile/live/1044_1.m3u8
金鹰卡通,http://116.233.34.25:7777/tsfile/live/1045_1.m3u8
来自上海电信(116.233.34.25:7777)的酒店源共有80个频道：
嘉佳卡通,http://116.233.34.25:7777/tsfile/live/1046_1.m3u8
卡酷卡通,http://116.233.34.25:7777/tsfile/live/1047_1.m3u8
快乐垂钓,http://116.233.34.25:7777/tsfile/live/1048_1.m3u8
茶频道,http://116.233.34.25:7777/tsfile/live/1049_1.m3u8
游戏风云,http://116.233.34.25:7777/tsfile/live/1050_1.m3u8
生活时尚,http://116.233.34.25:7777/tsfile/live/1051_1.m3u8
动漫秀场,http://116.233.34.25:7777/tsfile/live/1052_1.m3u8
都市剧场,http://116.233.34.25:7777/tsfile/live/1053_1.m3u8
欢笑剧场,http://116.233.34.25:7777/tsfile/live/1054_1.m3u8
北京卫视,http://116.233.34.25:7777/tsfile/live/0122_1.m3u8
江苏卫视,http://116.233.34.25:7777/tsfile/live/0127_1.m3u8
浙江卫视,http://116.233.34.25:7777/tsfile/live/0124_1.m3u8
湖南卫视,http://116.233.34.25:7777/tsfile/live/0128_1.m3u8
山东卫视,http://116.233.34.25:7777/tsfile/live/0131_1.m3u8
黑龙江卫视,http://116.233.34.25:7777/tsfile/live/0143_1.m3u8
安徽卫视,http://116.233.34.25:7777/tsfile/live/0130_1.m3u8
天津卫视,http://116.233.34.25:7777/tsfile/live/0135_1.m3u8
江西卫视,http://116.233.34.25:7777/tsfile/live/0138_1.m3u8
辽宁卫视,http://116.233.34.25:7777/tsfile/live/0121_1.m3u8
湖北卫视,http://116.233.34.25:7777/tsfile/live/0132_1.m3u8
来自上海电信(116.233.34.25:7777)的酒店源共有80个频道：
广东卫视,http://116.233.34.25:7777/tsfile/live/0125_1.m3u8
深圳卫视,http://116.233.34.25:7777/tsfile/live/0126_1.m3u8
东南卫视,http://116.233.34.25:7777/tsfile/live/0137_1.m3u8
海南卫视,http://116.233.34.25:7777/tsfile/live/1055_1.m3u8
贵州卫视,http://116.233.34.25:7777/tsfile/live/0120_1.m3u8
四川卫视,http://116.233.34.25:7777/tsfile/live/0123_1.m3u8
重庆卫视,http://116.233.34.25:7777/tsfile/live/0142_1.m3u8
河北卫视,http://116.233.34.25:7777/tsfile/live/0117_1.m3u8
内蒙古卫视,http://116.233.34.25:7777/tsfile/live/0109_1.m3u8
河南卫视,http://116.233.34.25:7777/tsfile/live/0139_1.m3u8
山西卫视,http://116.233.34.25:7777/tsfile/live/0118_1.m3u8
陕西卫视,http://116.233.34.25:7777/tsfile/live/0136_1.m3u8
甘肃卫视,http://116.233.34.25:7777/tsfile/live/0141_1.m3u8
青海卫视,http://116.233.34.25:7777/tsfile/live/0140_1.m3u8
云南卫视,http://116.233.34.25:7777/tsfile/live/0119_1.m3u8
广西卫视,http://116.233.34.25:7777/tsfile/live/0113_1.m3u8
宁夏卫视,http://116.233.34.25:7777/tsfile/live/0112_1.m3u8
新疆卫视,http://116.233.34.25:7777/tsfile/live/0110_1.m3u8
西藏卫视,http://116.233.34.25:7777/tsfile/live/0111_1.m3u8
吉林卫视,http://116.233.34.25:7777/tsfile/live/0116_1.m3u8
来自上海电信(116.233.34.25:7777)的酒店源共有80个频道：
三沙卫视,http://116.233.34.25:7777/tsfile/live/1056_1.m3u8
兵团卫视,http://116.233.34.25:7777/tsfile/live/0115_1.m3u8
22四川酒店,#genre#███████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████

23天津酒店,#genre#███████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████
24云南酒店,#genre#███████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████
25浙江酒店,#genre#███████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████
26重庆酒店,#genre#███████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████
27广西酒店,#genre#███████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████▬▬▬
28内蒙古酒店,#genre#███████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████▬
来自内蒙联通(110.7.131.149:8096)的酒店源共有40个频道：
CCTV-1,http://110.7.131.149:8096/tsfile/live/0001_1.m3u8
CCTV-2,http://110.7.131.149:8096/tsfile/live/0002_1.m3u8
CCTV-3,http://110.7.131.149:8096/tsfile/live/0003_1.m3u8
CCTV-4,http://110.7.131.149:8096/tsfile/live/0004_1.m3u8
CCTV-5,http://110.7.131.149:8096/tsfile/live/0005_1.m3u8
CCTV6-电影,http://110.7.131.149:8096/tsfile/live/0006_1.m3u8
CCTV-7,http://110.7.131.149:8096/tsfile/live/0007_1.m3u8
CCTV-8,http://110.7.131.149:8096/tsfile/live/0008_1.m3u8
CCTV9-纪录,http://110.7.131.149:8096/tsfile/live/0009_1.m3u8
CCTV-10,http://110.7.131.149:8096/tsfile/live/0010_1.m3u8
CCTV-11,http://110.7.131.149:8096/tsfile/live/0011_1.m3u8
CCTV-12,http://110.7.131.149:8096/tsfile/live/0012_1.m3u8
CCTV-13,http://110.7.131.149:8096/tsfile/live/0013_1.m3u8
CCTV-14,http://110.7.131.149:8096/tsfile/live/0014_1.m3u8
CCTV-15,http://110.7.131.149:8096/tsfile/live/0014_2.m3u8
内蒙古,http://110.7.131.149:8096/tsfile/live/0018_1.m3u8
浙江卫视,http://110.7.131.149:8096/tsfile/live/0124_1.m3u8
江苏卫视,http://110.7.131.149:8096/tsfile/live/0127_1.m3u8
湖北卫视,http://110.7.131.149:8096/tsfile/live/0132_1.m3u8
来自内蒙联通(110.7.131.149:8096)的酒店源共有40个频道：
广东卫视,http://110.7.131.149:8096/tsfile/live/0125_1.m3u8
山西卫视,http://110.7.131.149:8096/tsfile/live/0118_1.m3u8
贵州卫视,http://110.7.131.149:8096/tsfile/live/0120_1.m3u8
上海卫视,http://110.7.131.149:8096/tsfile/live/0107_1.m3u8
辽宁卫视,http://110.7.131.149:8096/tsfile/live/0121_1.m3u8
山东卫视,http://110.7.131.149:8096/tsfile/live/0131_1.m3u8
黑龙江卫视,http://110.7.131.149:8096/tsfile/live/0143_1.m3u8
广西卫视,http://110.7.131.149:8096/tsfile/live/0113_1.m3u8
兵团卫视,http://110.7.131.149:8096/tsfile/live/0115_1.m3u8
安徽卫视,http://110.7.131.149:8096/tsfile/live/0130_1.m3u8
北京卫视,http://110.7.131.149:8096/tsfile/live/0122_1.m3u8
东南卫视,http://110.7.131.149:8096/tsfile/live/0137_1.m3u8
天津卫视,http://110.7.131.149:8096/tsfile/live/0135_1.m3u8
湖南卫视,http://110.7.131.149:8096/tsfile/live/0128_1.m3u8
四川卫视,http://110.7.131.149:8096/tsfile/live/0123_1.m3u8
深圳卫视,http://110.7.131.149:8096/tsfile/live/0126_1.m3u8
宁夏卫视,http://110.7.131.149:8096/tsfile/live/0112_1.m3u8
云南卫视,http://110.7.131.149:8096/tsfile/live/0119_1.m3u8
河南卫视,http://110.7.131.149:8096/tsfile/live/0139_1.m3u8
来自内蒙联通(110.7.131.149:8096)的酒店源共有40个频道：
江西卫视,http://110.7.131.149:8096/tsfile/live/0138_1.m3u8
IPTV 6+,http://110.7.131.149:8096/tsfile/live/1010_1.m3u8
29宁夏酒店,#genre#███████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████▬▬▬
30西藏酒店,#genre#███████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████▬▬▬
31新疆酒店,#genre#███████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████▬▬▬
32香港酒店,#genre#███████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████▬▬▬▬▬
33澳门酒店,#genre#███████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████▬▬▬▬▬
34台湾酒店,#genre#███████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████
